transaction_id,transaction_reference,account_id,transaction_date,transaction_type,amount,currency,channel,merchant_name,created_at
1,TXN0000000001,38,2025-12-09 05:56:52,Fee,29454.59,npr,ATM,Khalti,2025-12-09 06:05:52
2,TXN0000000002,96,2025-12-23 05:23:56,Fee,39246.08,NPR,POS,Bhatbhateni,2025-12-23 06:12:56
3,TXN0000000003,24,2025-12-14 07:41:12,withdrawal,-100.0,npr,POS,Khalti,2025-12-14 08:24:12
4,TXN0000000004,68,2026-04-01 09:57:32,Deposit,49235.68,npr,Mobile Banking,Esewa,2026-04-01 10:49:32
5,TXN0000000005,115,2026-05-04 19:26:40,Withdrawal,10250.31,NPR,ATM,Khalti,2026-05-04 20:17:40
6,TXN0000000006,102,2026-03-13 05:03:04,Fee,41471.04,USD,Internet Banking,,2026-03-13 05:28:04
7,TXN0000000007,6,2026-02-22 03:26:39,Fee,49898.95,NPR,Mobile Banking,Esewa,2026-02-22 03:35:39
8,TXN0000000008,134,2025-12-07 20:47:26,deposit,14181.48,npr,Branch,,2025-12-07 21:33:26
9,TXN0000000009,139,2026-02-12 21:43:25,withdrawal,43453.71,NPR,Mobile Banking,Bhatbhateni,2026-02-12 21:57:25
10,TXN0000000010,42,2026-01-30 08:56:36,Fee,31076.19,NPR,POS,Esewa,2026-01-30 09:47:36
11,TXN0000000011,98,2026-03-13 21:52:03,Fee,20712.46,NPR,ATM,Esewa,2026-03-13 22:07:03
12,TXN0000000012,9,2026-01-01 14:57:04,deposit,25050.92,npr,Internet Banking,ATM Cash,2026-01-01 15:17:04
13,TXN0000000013,58,2026-05-15 11:02:05,Withdrawal,38156.57,USD,,ATM Cash,2026-05-15 12:01:05
14,TXN0000000014,85,2026-04-08 19:28:57,withdrawal,19440.64,USD,Branch,Esewa,2026-04-08 19:47:57
15,TXN0000000015,73,2026-04-14 14:01:15,withdrawal,19618.4,USD,Internet Banking,ATM Cash,2026-04-14 14:35:15
16,TXN0000000016,21,2026-06-01 22:01:25,withdrawal,28185.99,XYZ,,ATM Cash,2026-06-01 22:24:25
17,TXN0000000017,45,2026-03-13 15:11:47,Fee,30841.63,USD,Mobile Banking,Khalti,2026-03-13 15:36:47
18,TXN0000000018,140,2026-01-24 10:33:47,Fee,1378.48,USD,,Esewa,2026-01-24 10:40:47
19,TXN0000000019,112,2026-03-29 19:09:25,deposit,94224.24,NPR,Branch,,2026-03-29 20:00:25
20,TXN0000000020,54,2026-03-13 16:19:24,Transfer,132382.64,npr,Mobile Banking,Esewa,2026-03-13 16:30:24
21,TXN0000000021,34,2026-01-26 01:21:04,Card Payment,6104.11,npr,POS,Esewa,2026-01-26 02:02:04
